id,kepka_shoots_id,directus_files_id
77333df1-62d3-4397-9d4d-a376a190b42c,fc136715-8acb-4932-af48-118c68872d21,afe44046-c8de-4c3d-982c-5faa823326fd
6ebf03b9-4b75-4822-bf29-aaa6708d8e3b,86ceea9c-1afc-47b6-aa0f-1e0856f682d1,bee7ad5d-d917-4258-a370-79a3760663bc
01403377-63af-4cfb-b42e-6efb6aca10ba,86ceea9c-1afc-47b6-aa0f-1e0856f682d1,6e24731c-8a93-45b8-90c5-a861d67d7eea
8d0ef576-78a1-4400-ab86-1f4d60b249ba,86ceea9c-1afc-47b6-aa0f-1e0856f682d1,26e4dae2-ead3-416d-89e4-0faefa6bbaba
4ddba17d-8a3a-4f03-a133-c5e2387b3ca2,86ceea9c-1afc-47b6-aa0f-1e0856f682d1,78329cb0-77cb-4063-96c9-32a50285a64b
aad56ed8-8b8d-4a1e-bbaf-5c9190fd482b,86ceea9c-1afc-47b6-aa0f-1e0856f682d1,7ca39aa5-8270-4035-9238-9614435525d8
ce464389-fe4e-4fc4-b386-96c55d842053,99fdea56-037a-4c29-972c-e174d44adae5,e3c44fb2-7474-4334-b15b-d77ee3364a3d
6232c1f5-a6ba-49fb-9a65-8126725b27bd,99fdea56-037a-4c29-972c-e174d44adae5,e0cc608d-5bfb-4e9c-ac03-ebe480a0a2d9
1fc2ecf7-02a7-4689-b151-fe0e71a78238,99fdea56-037a-4c29-972c-e174d44adae5,c978fc5a-68fb-47db-8bca-ce27d14f933f
ccd919ae-b9af-49ed-bdbd-ea3f98b596b9,99fdea56-037a-4c29-972c-e174d44adae5,e5b03ff0-8f1b-4686-af10-4413dac4f30d
47900973-f24c-49bb-b99e-dc8f55b7c662,99fdea56-037a-4c29-972c-e174d44adae5,8e5911c6-9f1f-4d2b-9bd3-cb21a38bccf8
ea109b7d-85d8-4c0b-978c-a23f46cfb0d2,99fdea56-037a-4c29-972c-e174d44adae5,09d1cd7d-5612-46bd-8476-0fa73dbeb753
46f95c39-c4c8-4071-8390-17f57c5caac9,99fdea56-037a-4c29-972c-e174d44adae5,175a1470-c0ea-4405-bcba-af6a11719871
c111e4b0-74a4-4243-944e-355cd7205eaa,99fdea56-037a-4c29-972c-e174d44adae5,8c4dc352-642f-49e0-ad03-46e6971fbc25
